,prices,market_caps,total_volumes,dates
1617,0.4028522036035331,19501680101.245834,1246532475.320551,2022-06-07 00:00:00.000
1618,0.40868543927845047,19757121548.77853,1656469090.686715,2022-06-08 00:00:00.000
1619,0.4013646967922223,19403214153.929623,1189901698.4859858,2022-06-09 00:00:00.000
1620,0.40013286715732643,19337901433.51992,968180632.6239969,2022-06-10 00:00:00.000
1621,0.3820658620329248,18470248632.176723,1394625551.8777137,2022-06-11 00:00:00.000
1622,0.3600670196345797,17379402375.610332,1084591650.3200622,2022-06-12 00:00:00.000
1623,0.3473716238493033,16827700964.903425,1333656925.8682263,2022-06-13 00:00:00.000
1624,0.31138286809406446,15053213503.283463,2571889116.4250913,2022-06-14 00:00:00.000
1625,0.3229550712743772,15568557097.451038,2039011089.8863053,2022-06-15 00:00:00.000
1626,0.3443938243994498,16638203871.66533,2286498342.0860343,2022-06-16 00:00:00.000
1627,0.31243655020944017,15102606560.779781,1488890180.7566843,2022-06-17 00:00:00.000
1628,0.32235441599660697,15583612153.823809,1375080658.751605,2022-06-18 00:00:00.000
1629,0.309330958004928,14954017806.197191,1397757103.8555963,2022-06-19 00:00:00.000
1630,0.3256824232823504,15728564298.65965,1149006659.4837725,2022-06-20 00:00:00.000
1631,0.3240971076934186,15701017293.774082,1155228410.4452622,2022-06-21 00:00:00.000
1632,0.3291435408891084,15900484925.03035,1204900980.2904763,2022-06-22 00:00:00.000
1633,0.32275428268771983,15649591825.880308,1034224812.3256223,2022-06-23 00:00:00.000
1634,0.33551746207899685,16219954622.645557,930214775.4482027,2022-06-24 00:00:00.000
1635,0.368261234144217,17889932972.34277,2203591341.2461424,2022-06-25 00:00:00.000
1636,0.3673154719665823,17775525052.331444,839552662.1340762,2022-06-26 00:00:00.000
1637,0.3603228719112207,17419125060.39781,728876201.2695982,2022-06-27 00:00:00.000
1638,0.35371650062009147,17086200868.005722,962846750.9298605,2022-06-28 00:00:00.000
1639,0.3374417519060058,16336659163.210838,1017648480.8788854,2022-06-29 00:00:00.000
1640,0.3296188316599712,15942967992.329262,1084325830.6370008,2022-06-30 00:00:00.000
1641,0.32924807588589466,15916873051.469343,1326945295.0085275,2022-07-01 00:00:00.000
1642,0.31563768472333953,15318991092.382448,1234242687.662255,2022-07-02 00:00:00.000
1643,0.3164857899276253,15299904569.883673,564976560.4788862,2022-07-03 00:00:00.000
1644,0.3225294647379495,15599885643.287638,644134011.6950454,2022-07-04 00:00:00.000
1645,0.32908371430087685,15908927302.731928,936245776.3927474,2022-07-05 00:00:00.000
1646,0.325509709249199,15716240546.842815,1069390130.9545662,2022-07-06 00:00:00.000
1647,0.33255551826321617,16064248862.684473,1035873113.4054006,2022-07-07 00:00:00.000
1648,0.3424005523116743,16549147878.346827,962456688.9760337,2022-07-08 00:00:00.000
1649,0.34421421109400624,16669839157.562326,1477936729.899496,2022-07-09 00:00:00.000
1650,0.3449893831165381,16689516861.731253,610784365.4046191,2022-07-10 00:00:00.000
1651,0.32581075245157504,15750702176.837206,858123901.9091449,2022-07-11 00:00:00.000
1652,0.3148525452970551,15220948459.42856,970888703.3390352,2022-07-12 00:00:00.000
1653,0.3124987716416906,15105806689.09798,936739624.7320567,2022-07-13 00:00:00.000
1654,0.3247437036981014,15695378352.168207,1306451712.9517221,2022-07-14 00:00:00.000
